"국가별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"국가별",인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%),인터넷 이용률(%)
"세네갈",0.4,1.0,1.0,2.1,4.4,4.8,5.6,6.9,7.1,7.5,8.0,9.8,10.8,13.1,17.7,21.7,25.7,29.6,35.3,39.5,42.6,-
"세이셸",7.4,11.0,14.3,14.6,24.3,25.4,35.0,38.4,40.4,-,41.0,43.2,47.1,50.4,51.3,54.3,56.5,58.8,70.1,75.0,79.0,-
"시에라리온",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.6,0.9,2.5,4.0,6.1,6.3,11.8,13.2,15.8,16.8,18.0,-
"소말리아",0.0,0.1,0.1,0.4,1.1,1.1,1.1,1.1,1.1,1.2,-,1.3,1.4,1.5,1.6,1.8,1.9,2.0,-,-,-,-
"남아프리카공화국",5.3,6.3,6.7,7.0,8.4,7.5,7.6,8.1,8.4,10.0,24.0,34.0,41.0,46.5,49.0,51.9,54.0,56.2,62.4,68.2,70.0,-
"남수단",-,-,-,-,-,-,-,-,-,-,-,-,-,2.2,2.6,3.0,3.5,4.1,4.8,5.6,6.5,-
"세인트헬레나",5.9,8.0,10.1,12.3,14.6,15.9,17.2,18.6,18.8,19.1,24.9,33.0,37.6,-,-,-,-,-,-,-,-,-
"수단",0.0,0.1,0.4,0.5,0.8,1.3,-,8.7,-,-,-,-,-,-,-,-,14.1,18.6,24.6,25.9,28.4,-
"에스와티니",0.9,1.3,1.8,2.4,3.2,3.7,3.7,4.1,6.9,8.9,11.0,18.1,20.8,24.7,25.0,25.6,28.6,30.3,-,-,-,-
"탄자니아",0.1,0.2,0.2,0.7,0.9,1.1,1.3,1.6,1.9,2.4,2.9,3.2,4.0,4.4,7.0,10.0,13.5,16.0,19.0,20.0,22.0,-
"토고",0.8,0.9,1.0,1.2,1.5,1.8,2.0,2.2,2.4,2.6,3.0,3.5,4.0,4.5,5.7,7.1,11.3,12.4,15.5,19.3,24.0,-
"튀니지",2.8,4.3,5.3,6.5,8.5,9.7,13.0,17.1,27.5,34.1,36.8,39.1,41.4,43.8,46.2,46.5,49.6,55.5,64.2,66.7,71.9,-
"우간다",0.2,0.2,0.4,0.5,0.7,1.7,2.5,3.7,3.9,4.1,4.3,4.6,4.8,5.1,5.4,5.7,6.0,8.1,10.9,14.7,6.1,-
"잠비아",0.2,0.2,0.5,1.0,1.1,1.3,1.6,1.9,2.2,2.5,3.0,3.5,4.1,4.8,6.5,8.8,10.3,12.2,14.3,16.8,19.8,-
"짐바브웨",0.4,0.8,1.1,1.8,2.1,2.4,2.4,3.0,3.5,4.0,6.4,8.4,12.0,15.5,16.4,22.7,23.1,24.4,25.0,25.1,29.3,-
"오스트레일리아",46.8,52.7,-,-,-,63.0,66.0,69.5,71.7,74.3,76.0,79.5,79.0,83.5,84.0,84.6,86.5,86.5,87.6,88.6,89.6,-
"쿡아일랜드",15.7,18.1,20.0,22.9,24.0,26.2,25.9,25.6,25.4,30.3,35.7,39.0,42.0,45.0,48.0,51.0,54.0,-,-,-,-,-
"피지",1.5,1.9,6.2,6.7,7.4,8.5,9.6,10.9,13.0,17.0,20.0,28.0,33.7,35.2,37.4,42.5,49.4,65.8,68.9,-,-,-
"프랑스령폴리네시아",6.4,6.3,8.2,14.1,17.9,21.5,25.1,28.6,33.9,44.6,49.0,49.0,52.9,56.8,60.7,64.6,68.4,72.7,-,-,-,-
"괌",16.1,25.4,31.2,33.7,36.2,38.6,43.9,46.2,48.4,50.6,54.0,57.7,61.5,65.4,69.3,73.1,77.0,80.5,-,-,-,-
"키리바시",1.8,2.3,2.5,3.0,3.5,4.0,4.5,6.0,7.0,9.0,9.1,10.0,10.7,11.5,12.3,14.9,18.7,23.4,29.4,36.9,38.0,-
"마셜제도",1.5,1.7,2.3,2.6,3.6,3.9,3.8,4.0,4.6,5.6,7.0,10.0,12.5,14.0,16.8,19.3,29.8,38.7,-,-,-,-
"미크로네시아",3.7,4.7,5.6,9.2,11.0,11.9,12.8,13.6,14.5,15.4,20.0,22.8,26.0,27.8,29.7,31.5,33.4,35.3,-,-,-,-
"나우루",-,3.0,-,-,-,-,-,-,-,-,-,54.0,-,-,-,-,-,62.4,-,-,-,-
"뉴칼레도니아",13.9,18.2,22.4,26.4,30.3,32.4,33.5,35.1,34.5,34.0,42.0,50.0,58.0,66.0,70.0,74.0,-,82.0,-,-,-,-
"뉴질랜드",47.4,53.2,59.1,61.0,61.8,62.7,69.0,69.8,72.0,79.7,80.5,81.2,81.6,82.8,84.0,85.2,86.5,87.7,89.0,90.2,91.5,-
"니우에",26.5,32.7,39.1,43.1,47.3,51.7,56.3,61.0,65.9,74.5,77.0,79.6,-,-,-,-,-,-,-,-,-,-
"팔라우",-,-,20.2,21.6,27.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"파푸아뉴기니",0.8,0.9,1.3,1.4,1.5,1.7,1.8,1.8,1.2,1.6,1.3,2.0,3.5,5.1,6.5,7.9,9.6,11.2,-,-,-,-
"사모아",0.6,1.7,2.2,2.8,3.1,3.4,4.5,4.7,5.0,6.0,7.0,11.0,12.9,15.3,21.2,25.4,29.4,33.6,-,-,-,-
"솔로몬제도",0.5,0.5,0.5,0.6,0.6,0.8,1.6,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,11.9,-,-,-,-
"토켈라우제도",-,-,-,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"통가",2.4,2.8,2.9,3.0,4.0,4.9,5.9,7.2,8.1,10.0,16.0,25.0,30.0,32.8,36.0,38.7,40.0,41.2,-,-,-,-
"투발루",5.2,5.7,6.3,6.9,7.6,8.3,9.1,10.0,11.2,12.8,14.6,16.5,18.7,21.2,24.1,27.3,31.0,35.2,-,-,-,-
"바누아투",2.1,2.8,3.5,3.9,4.7,5.1,5.9,6.8,7.3,7.5,8.0,9.2,10.6,11.3,18.8,22.4,24.0,25.7,-,-,-,-
"월리스푸투나제도",4.8,5.1,5.4,5.7,6.1,6.7,7.3,8.0,8.2,6.8,8.2,8.7,9.0,-,-,-,-,-,-,-,-,-
